Index,Season,League,Team,Entropy,X,Colour
184,2009/2010,Spain,Sevilla,0.9688115009189916,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
185,2009/2010,Spain,Sporting Gijon,0.9876916184083919,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
186,2009/2010,Spain,Getafe,1.0203958309210819,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
187,2009/2010,Spain,Espanyol,1.0091340591734315,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
188,2009/2010,Spain,Valladolid,0.9987613231289307,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
189,2009/2010,Spain,Athletic Bilbao,1.018788831163264,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
190,2009/2010,Spain,Almeria,0.9963659591410317,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
191,2009/2010,Spain,Atletico Madrid,1.0084894579053263,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
192,2009/2010,Spain,Malaga,0.996338936150924,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
193,2009/2010,Spain,Xerez,0.9593922300906783,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
194,2009/2010,Spain,Zaragoza,1.004250609854796,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
195,2009/2010,Spain,Tenerife,0.9988295077245634,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
196,2010/2011,England,Manchester United,0.8978914708723668,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
197,2010/2011,England,Newcastle United,1.0102845943883878,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
198,2010/2011,England,Arsenal,0.9013732088657317,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
199,2010/2011,England,West Bromwich Albion,1.0032869640303763,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
200,2010/2011,England,Sunderland,1.021957699400027,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
201,2010/2011,England,Liverpool,0.9966417759325272,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
202,2010/2011,England,West Ham,0.992444227460627,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
203,2010/2011,England,Wigan,0.9791641123738772,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
204,2010/2011,England,Aston Villa,1.0239039571610813,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
205,2010/2011,England,Manchester City,0.9730253758666025,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
206,2010/2011,England,Everton,1.0135356643174807,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
207,2010/2011,England,Blackburn,1.0030152764886011,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
